category,GO_term,gene
CF,Actin cytoskeleton,ANKRD23
CF,Actin cytoskeleton,ANLN
CF,Actin cytoskeleton,ANXA1
CF,Actin cytoskeleton,APBB3
CF,Actin cytoskeleton,APC2
CF,Actin cytoskeleton,ARC
CF,Actin cytoskeleton,ARHGAP21
CF,Actin cytoskeleton,ARHGAP32
CF,Actin cytoskeleton,ARHGAP33
CF,Actin cytoskeleton,ARHGAP35
CF,Actin cytoskeleton,ARHGAP6
CF,Actin cytoskeleton,ARHGEF5
CF,Actin cytoskeleton,ARPC1A
CF,Actin cytoskeleton,ARPC1B
CF,Actin cytoskeleton,ARPC2
CF,Actin cytoskeleton,ARPC3
CF,Actin cytoskeleton,ARPC4
CF,Actin cytoskeleton,ARPC5
CF,Actin cytoskeleton,ARPC5L
CF,Actin cytoskeleton,ARSJ
CF,Actin cytoskeleton,ASAP1
CF,Actin cytoskeleton,ASB2
CF,Actin cytoskeleton,ATP12A
CF,Actin cytoskeleton,AUTS2
CF,Actin cytoskeleton,AVIL
CF,Actin cytoskeleton,AXL
CF,Actin cytoskeleton,BAG3
CF,Actin cytoskeleton,BAIAP2
CF,Actin cytoskeleton,BAIAP2L1
CF,Actin cytoskeleton,BARX2
CF,Actin cytoskeleton,BCAR1
CF,Actin cytoskeleton,BIN1
CF,Actin cytoskeleton,BIN2
CF,Actin cytoskeleton,BIN3
CF,Actin cytoskeleton,BMF
CF,Actin cytoskeleton,BPIFB4
CF,Actin cytoskeleton,C10orf90
CF,Actin cytoskeleton,CALB1
CF,Actin cytoskeleton,CALD1
CF,Actin cytoskeleton,CAP1
CF,Actin cytoskeleton,CAPG
CF,Actin cytoskeleton,CAPN2
CF,Actin cytoskeleton,CAPZA1
CF,Actin cytoskeleton,CAPZA2
CF,Actin cytoskeleton,CAPZA3
CF,Actin cytoskeleton,CAPZB
CF,Actin cytoskeleton,CARMIL1
CF,Actin cytoskeleton,CARMIL2
CF,Actin cytoskeleton,CASK
CF,Actin cytoskeleton,CATIP
CF,Actin cytoskeleton,CCDC102A
CF,Actin cytoskeleton,CD274
CF,Actin cytoskeleton,CD2AP
CF,Actin cytoskeleton,CDC42BPA
CF,Actin cytoskeleton,CDC42BPB
CF,Actin cytoskeleton,CDC42EP3
CF,Actin cytoskeleton,CDC42EP4
CF,Actin cytoskeleton,CDH1
CF,Actin cytoskeleton,CDH2
CF,Actin cytoskeleton,CENPQ
CF,Actin cytoskeleton,CFL1
CF,Actin cytoskeleton,CFL2
CF,Actin cytoskeleton,CGN
CF,Actin cytoskeleton,CGNL1
CF,Actin cytoskeleton,CIB2
CF,Actin cytoskeleton,CLDN5
CF,Actin cytoskeleton,CLIC4
CF,Actin cytoskeleton,CLIC5
CF,Actin cytoskeleton,CNN1
CF,Actin cytoskeleton,CNN2
CF,Actin cytoskeleton,CNN3
CF,Actin cytoskeleton,CNR1
CF,Actin cytoskeleton,COBL
CF,Actin cytoskeleton,CORIN
CF,Actin cytoskeleton,CORO1A
CF,Actin cytoskeleton,CORO1B
CF,Actin cytoskeleton,CORO1C
CF,Actin cytoskeleton,CORO2B
CF,Actin cytoskeleton,COTL1
CF,Actin cytoskeleton,CRK
CF,Actin cytoskeleton,CROCC
CF,Actin cytoskeleton,CRYAB
CF,Actin cytoskeleton,CTNNA1
CF,Actin cytoskeleton,CTNNA2
CF,Actin cytoskeleton,CTTN
CF,Actin cytoskeleton,CTTNBP2
CF,Actin cytoskeleton,CTTNBP2NL
CF,Actin cytoskeleton,DAAM1
CF,Actin cytoskeleton,DAPK1
CF,Actin cytoskeleton,DBN1
CF,Actin cytoskeleton,DBNL
CF,Actin cytoskeleton,DCTN2
CF,Actin cytoskeleton,DCTN3
CF,Actin cytoskeleton,DCTN4
CF,Actin cytoskeleton,DCTN5
CF,Actin cytoskeleton,DCTN6
CF,Actin cytoskeleton,DDR2
CF,Actin cytoskeleton,DENND2A
CF,Actin cytoskeleton,DGKH
CF,Actin cytoskeleton,DHX9
CF,Actin cytoskeleton,DIAPH1
CF,Actin cytoskeleton,DIAPH2
CF,Actin cytoskeleton,DIAPH3
CF,Actin cytoskeleton,DIXDC1
CF,Actin cytoskeleton,DLC1
CF,Actin cytoskeleton,DMTN
CF,Actin cytoskeleton,DNAJA3
CF,Actin cytoskeleton,DNM2
CF,Actin cytoskeleton,DOCK5
CF,Actin cytoskeleton,DPYSL3
CF,Actin cytoskeleton,DST
CF,Actin cytoskeleton,DSTN
CF,Actin cytoskeleton,DUSP22
CF,Actin cytoskeleton,DYNLL2
CF,Actin cytoskeleton,EEF1A1
CF,Actin cytoskeleton,EFR3B
CF,Actin cytoskeleton,EPB41L2
CF,Actin cytoskeleton,EPHA3
CF,Actin cytoskeleton,ESPN
CF,Actin cytoskeleton,EVL
CF,Actin cytoskeleton,EZR
CF,Actin cytoskeleton,FAM107A
CF,Actin cytoskeleton,FBLIM1
CF,Actin cytoskeleton,FCHSD1
CF,Actin cytoskeleton,FER
CF,Actin cytoskeleton,FERMT2
CF,Actin cytoskeleton,FERMT3
CF,Actin cytoskeleton,FGR
CF,Actin cytoskeleton,FHDC1
CF,Actin cytoskeleton,FHL3
CF,Actin cytoskeleton,FHOD1
CF,Actin cytoskeleton,FILIP1
CF,Actin cytoskeleton,FKBP15
CF,Actin cytoskeleton,FLII
CF,Actin cytoskeleton,FLNA
CF,Actin cytoskeleton,FLNB
CF,Actin cytoskeleton,FLOT1
CF,Actin cytoskeleton,FLOT2
CF,Actin cytoskeleton,FLT1
CF,Actin cytoskeleton,FMN1
CF,Actin cytoskeleton,FMN2
CF,Actin cytoskeleton,FOXA3
CF,Actin cytoskeleton,FSCN1
CF,Actin cytoskeleton,FSCN2
CF,Actin cytoskeleton,FSCN3
CF,Actin cytoskeleton,FYB1
CF,Actin cytoskeleton,FYN
CF,Actin cytoskeleton,GABARAP
CF,Actin cytoskeleton,GAS2
CF,Actin cytoskeleton,GAS2L1
CF,Actin cytoskeleton,GAS2L2
CF,Actin cytoskeleton,GAS2L3
CF,Actin cytoskeleton,GAS7
CF,Actin cytoskeleton,GBP1
CF,Actin cytoskeleton,GDPD2
CF,Actin cytoskeleton,GFRAL
CF,Actin cytoskeleton,GJB6
CF,Actin cytoskeleton,GSN
CF,Actin cytoskeleton,GYS2
CF,Actin cytoskeleton,H1-0
CF,Actin cytoskeleton,HAP1
CF,Actin cytoskeleton,HAX1
CF,Actin cytoskeleton,HCK
CF,Actin cytoskeleton,HNRNPC
CF,Actin cytoskeleton,HNRNPK
CF,Actin cytoskeleton,HSPB7
CF,Actin cytoskeleton,IFIT5
CF,Actin cytoskeleton,ILK
CF,Actin cytoskeleton,INF2
CF,Actin cytoskeleton,INTS6
CF,Actin cytoskeleton,IPP
CF,Actin cytoskeleton,IQCG
CF,Actin cytoskeleton,IQGAP1
CF,Actin cytoskeleton,IQGAP2
CF,Actin cytoskeleton,ITPKA
CF,Actin cytoskeleton,JAM3
CF,Actin cytoskeleton,KALRN
CF,Actin cytoskeleton,KANSL2
CF,Actin cytoskeleton,KAT2B
CF,Actin cytoskeleton,KEAP1
CF,Actin cytoskeleton,KIF9
CF,Actin cytoskeleton,KLHL14
CF,Actin cytoskeleton,KLHL17
CF,Actin cytoskeleton,KLHL2
CF,Actin cytoskeleton,KLHL20
CF,Actin cytoskeleton,KNCN
CF,Actin cytoskeleton,KNTC1
CF,Actin cytoskeleton,KPTN
CF,Actin cytoskeleton,KRT19
CF,Actin cytoskeleton,LAD1
CF,Actin cytoskeleton,LANCL2
CF,Actin cytoskeleton,LASP1
CF,Actin cytoskeleton,LCP1
CF,Actin cytoskeleton,LDB3
CF,Actin cytoskeleton,LIMA1
CF,Actin cytoskeleton,LIMCH1
CF,Actin cytoskeleton,LIMD2
CF,Actin cytoskeleton,LLGL1
CF,Actin cytoskeleton,LLGL2
CF,Actin cytoskeleton,LMOD1
CF,Actin cytoskeleton,LMOD2
CF,Actin cytoskeleton,LMOD3
CF,Actin cytoskeleton,LPP
CF,Actin cytoskeleton,LPXN
CF,Actin cytoskeleton,LSP1
CF,Actin cytoskeleton,MACF1
CF,Actin cytoskeleton,MAEA
CF,Actin cytoskeleton,MARCKS
CF,Actin cytoskeleton,MARK2
CF,Actin cytoskeleton,MED28
CF,Actin cytoskeleton,MICAL1
CF,Actin cytoskeleton,MICAL2
CF,Actin cytoskeleton,MICALL2
CF,Actin cytoskeleton,MISP
CF,Actin cytoskeleton,MLPH
CF,Actin cytoskeleton,MPP4
CF,Actin cytoskeleton,MPRIP
CF,Actin cytoskeleton,MSRA
CF,Actin cytoskeleton,MSRB1
CF,Actin cytoskeleton,MST1R
CF,Actin cytoskeleton,MTPN
CF,Actin cytoskeleton,MTSS1
CF,Actin cytoskeleton,MTSS2
CF,Actin cytoskeleton,MYADM
CF,Actin cytoskeleton,MYH1
CF,Actin cytoskeleton,MYH10
CF,Actin cytoskeleton,MYH11
CF,Actin cytoskeleton,MYH13
CF,Actin cytoskeleton,MYH14
CF,Actin cytoskeleton,MYH15
CF,Actin cytoskeleton,MYH16
CF,Actin cytoskeleton,MYH2
CF,Actin cytoskeleton,MYH3
CF,Actin cytoskeleton,MYH4
CF,Actin cytoskeleton,MYH6
CF,Actin cytoskeleton,MYH7
CF,Actin cytoskeleton,MYH7B
CF,Actin cytoskeleton,MYH8
CF,Actin cytoskeleton,MYH9
CF,Actin cytoskeleton,MYL1
CF,Actin cytoskeleton,MYL11
CF,Actin cytoskeleton,MYL12A
CF,Actin cytoskeleton,MYL12B
CF,Actin cytoskeleton,MYL2
CF,Actin cytoskeleton,MYL3
CF,Actin cytoskeleton,MYL4
CF,Actin cytoskeleton,MYL5
CF,Actin cytoskeleton,MYL6
CF,Actin cytoskeleton,MYL6B
CF,Actin cytoskeleton,MYL7
CF,Actin cytoskeleton,MYL9
CF,Actin cytoskeleton,MYLK
CF,Actin cytoskeleton,MYLK3
CF,Actin cytoskeleton,MYO10
CF,Actin cytoskeleton,MYO15A
CF,Actin cytoskeleton,MYO16
CF,Actin cytoskeleton,MYO18A
CF,Actin cytoskeleton,MYO18B
CF,Actin cytoskeleton,MYO19
CF,Actin cytoskeleton,MYO1A
CF,Actin cytoskeleton,MYO1B
CF,Actin cytoskeleton,MYO1C
CF,Actin cytoskeleton,MYO1D
CF,Actin cytoskeleton,MYO1E
CF,Actin cytoskeleton,MYO1F
CF,Actin cytoskeleton,MYO1G
CF,Actin cytoskeleton,MYO1H
CF,Actin cytoskeleton,MYO3A
CF,Actin cytoskeleton,MYO3B
CF,Actin cytoskeleton,MYO5A
CF,Actin cytoskeleton,MYO5B
CF,Actin cytoskeleton,MYO5C
CF,Actin cytoskeleton,MYO6
CF,Actin cytoskeleton,MYO7A
CF,Actin cytoskeleton,MYO7B
CF,Actin cytoskeleton,MYO9A
CF,Actin cytoskeleton,MYO9B
CF,Actin cytoskeleton,MYOT
CF,Actin cytoskeleton,MYOZ1
CF,Actin cytoskeleton,MYOZ2
CF,Actin cytoskeleton,MYOZ3
CF,Actin cytoskeleton,MYRIP
CF,Actin cytoskeleton,MYZAP
CF,Actin cytoskeleton,NCKAP1
CF,Actin cytoskeleton,NCOA5
CF,Actin cytoskeleton,NDC1
CF,Actin cytoskeleton,NEB
CF,Actin cytoskeleton,NEBL
CF,Actin cytoskeleton,NEURL1B
CF,Actin cytoskeleton,NEXN
CF,Actin cytoskeleton,NF2
CF,Actin cytoskeleton,NHERF1
CF,Actin cytoskeleton,NOS1AP
CF,Actin cytoskeleton,NPFFR2
CF,Actin cytoskeleton,NPM3
CF,Actin cytoskeleton,NTN1
CF,Actin cytoskeleton,ONECUT2
CF,Actin cytoskeleton,OPHN1
CF,Actin cytoskeleton,PAK1
CF,Actin cytoskeleton,PALLD
CF,Actin cytoskeleton,PARVA
CF,Actin cytoskeleton,PARVB
CF,Actin cytoskeleton,PARVG
CF,Actin cytoskeleton,PAWR
CF,Actin cytoskeleton,PDCD6IP
CF,Actin cytoskeleton,PDLIM1
CF,Actin cytoskeleton,PDLIM2
CF,Actin cytoskeleton,PDLIM3
CF,Actin cytoskeleton,PDLIM4
CF,Actin cytoskeleton,PDLIM5
