"gene","fpr","tpr"
"PCDHB7",0.366666666666667,0.745454545454545
"PCDHB7",0.366666666666667,0.727272727272727
"PCDHB7",0.366666666666667,0.709090909090909
"PCDHB7",0.366666666666667,0.690909090909091
"PCDHB7",0.366666666666667,0.672727272727273
"PCDHB7",0.333333333333333,0.672727272727273
"PCDHB7",0.3,0.672727272727273
"PCDHB7",0.3,0.654545454545455
"PCDHB7",0.266666666666667,0.654545454545455
"PCDHB7",0.233333333333333,0.654545454545455
"PCDHB7",0.233333333333333,0.636363636363636
"PCDHB7",0.2,0.636363636363636
"PCDHB7",0.166666666666667,0.636363636363636
"PCDHB7",0.166666666666667,0.618181818181818
"PCDHB7",0.166666666666667,0.6
"PCDHB7",0.166666666666667,0.581818181818182
"PCDHB7",0.133333333333333,0.581818181818182
"PCDHB7",0.133333333333333,0.563636363636364
"PCDHB7",0.133333333333333,0.545454545454545
"PCDHB7",0.1,0.545454545454545
"PCDHB7",0.1,0.527272727272727
"PCDHB7",0.1,0.509090909090909
"PCDHB7",0.1,0.490909090909091
"PCDHB7",0.1,0.472727272727273
"PCDHB7",0.1,0.454545454545455
"PCDHB7",0.1,0.436363636363636
"PCDHB7",0.1,0.418181818181818
"PCDHB7",0.1,0.4
"PCDHB7",0.1,0.381818181818182
"PCDHB7",0.1,0.363636363636364
"PCDHB7",0.0666666666666667,0.363636363636364
"PCDHB7",0.0666666666666667,0.345454545454545
"PCDHB7",0.0666666666666667,0.327272727272727
"PCDHB7",0.0666666666666667,0.309090909090909
"PCDHB7",0.0666666666666667,0.290909090909091
"PCDHB7",0.0666666666666667,0.272727272727273
"PCDHB7",0.0333333333333333,0.272727272727273
"PCDHB7",0.0333333333333333,0.254545454545455
"PCDHB7",0.0333333333333333,0.236363636363636
"PCDHB7",0,0.236363636363636
"PCDHB7",0,0.218181818181818
"PCDHB7",0,0.2
"PCDHB7",0,0.181818181818182
"PCDHB7",0,0.163636363636364
"PCDHB7",0,0.145454545454545
"PCDHB7",0,0.127272727272727
"PCDHB7",0,0.109090909090909
