fov,MRG,ECM,n
201,0.017641995167031046,-0.17263698532504929,1109
202,-0.031025950558851854,-0.20498684756757082,1177
203,-0.029161176745810678,-0.18346279825352613,1323
204,0.02147325854234265,-0.15568149359301123,1480
205,0.009916582592388043,-0.1769185790675078,1209
206,0.04178905356359151,-0.15146675623542558,1337
207,-0.05875791326880108,-0.2067997197841135,1273
208,-0.025280209141673282,-0.19068244882946492,1332
209,-0.04021635545367406,-0.2058551161132779,1338
210,-0.024415702925567936,-0.19162557426753157,1203
211,-0.0003878953974589765,-0.17192166003152026,1267
212,-0.02875382801595308,-0.19916808274761225,1250
213,-0.02319509352409838,-0.18375582739119983,1333
214,0.0072002401124184046,-0.18634150561780694,1245
215,-0.016871057761241415,-0.19167692580628456,1221
216,-0.022352916456864866,-0.19138082073824852,1378
217,-0.010368399882269869,-0.18571313359964664,1317
218,-0.05891406371313175,-0.20609492154987843,1310
219,-0.03131719657775629,-0.2026316297524035,1299
220,-0.05441421678280578,-0.19891047979985874,1232
221,0.009449100280385361,-0.17108413176812418,1177
222,-0.042824830479795725,-0.21117722181649842,1089
223,-0.0029381374937437455,-0.18547489116251695,1151
224,-0.005720255061701734,0.05855051651086811,2270
225,-0.0015199641971399803,-0.07056634720846743,1454
226,0.0180223268072287,-0.0729651596817317,1331
227,-0.007481551316287741,-0.10342343683768358,1184
228,0.035220092845444494,-0.0038172726271479425,1301
229,0.01879803445418387,0.027737504620514924,1315
230,-0.0052411646295483765,-0.06622339931297824,1449
231,0.0032668764242920656,-0.04657529474148178,1538
232,0.005544013294444737,-0.015217203483850543,1726
233,0.018406864983472864,-0.027027821102926564,1684
234,-0.0470207020732922,-0.11644223534822824,1718
235,-0.06958400889590263,-0.13038418545526642,1569
236,-0.0484260631570074,-0.15076788374363786,1476
237,-0.05429629734064881,-0.15373705687597355,1429
238,-0.06560045942622936,-0.14972665351369954,1486
239,-0.03298672534395084,-0.10103243460563308,1515
240,-0.01697208615078198,-0.027549545161200686,1928
241,-0.018447988918784113,-0.05323863291039252,1816
242,-0.046736679013524234,-0.12488079947112685,1806
243,-0.03705917941929483,-0.10044565190071136,1863
244,-0.06810490322929055,-0.09043709694296749,2210
